sku,name,brand,category,price,url,in_stock,quantity_on_hand,inventory_value,description,upc
05095GS11007,"Resin Ribbon, 110mmx74m (4.33inx242ft), 5095; High Performance, 12mm (0.5in) core, 12/box | 05095GS11007",Zebra Technologies,1477,122.85,https://www.arrowheadphx.com/resin-ribbon-4-33inx242ft-5095-high-performance-0-5in-core-12-box-05095gs11007/,True,138,16953.3,"Resin Ribbon, 110mmx74m (4.33inx242ft), 5095; High Performance, 12mm (0.5in) core, 12/box",
P1112750-010,"Kit, Printhead 300 dpi, ZE511 RH & LH | P1112750-010",Zebra Technologies,1520;1521,633.24,https://www.arrowheadphx.com/kit-printhead-300-dpi-ze511-rh-lh-p1112750-010/,True,25,15831.0,"Kit, Printhead 300 dpi, ZE511 RH & LH",
94683,"Label, Paper, 6x8in (152.4x203.2mm); TT, Z-Select 4000T, High Performance Coated, Permanent Adhesive, 3in (76.2mm) core, 690/roll, 2/box, Plain | 94683",Zebra Technologies,1480,90.79,https://www.arrowheadphx.com/94683-zebra-z-select-4000t-6x8-paper-label-2-case/,True,173,15706.670000000002,"Label, Paper, 6x8in (152.4x203.2mm); TT, Z-Select 4000T, High Performance Coated, Permanent Adhesive, 3in (76.2mm) core, 690/roll, 2/box, Plain",
10012712-4,"Wristband, Polypropylene, 1x10in (25.4x254mm); Direct thermal, Z-Band Fun, Adhesive closure, 1in (25.4mm) core, 350/roll, 4/box, Green. Black mark sensing. | 10012712-4",Zebra Technologies,1503,89.77,https://www.arrowheadphx.com/10012712-4-zebra-z-band-fun-green-1x10-synthetic-label-4-case/,True,171,15350.67,"Wristband, Polypropylene, 1x10in (25.4x254mm); Direct thermal, Z-Band Fun, Adhesive closure, 1in (25.4mm) core, 350/roll, 4/box, Green. Black mark sensing.",
10015356K,"Wristband, Synthetic, 0.75x11in (19.1x279.4mm); DT, Z-Band Ultra Soft, Coated, Permanent Adhesive, cartridge | 10015356K",Zebra Technologies,1914,291.96,https://www.arrowheadphx.com/health-care-media-for-wristbanding-use-hc100-wristband-cartridges-z-band-ultrasoft-kit-0-75-x-11-white-10015356k-10015356k/,True,49,14306.039999999999,"Wristband, Synthetic, 0.75x11in (19.1x279.4mm); DT, Z-Band Ultra Soft, Coated, Permanent Adhesive, cartridge",
10012712-2,"Wristband, Polypropylene, 1x10in (25.4x254mm); Direct thermal, Z-Band Fun, Adhesive closure, 1in (25.4mm) core, 350/roll, 4/box, Yellow. Black mark sensing. | 10012712-2",Zebra Technologies,1503,89.77,https://www.arrowheadphx.com/10012712-2-zebra-z-band-fun-yellow-1x10-synthetic-label-4-case/,True,158,14183.66,"Wristband, Polypropylene, 1x10in (25.4x254mm); Direct thermal, Z-Band Fun, Adhesive closure, 1in (25.4mm) core, 350/roll, 4/box, Yellow. Black mark sensing.",
800077-711,"Zebra ix Series monochrome ribbon for ZXP Series 7 Black, 5000 images | 800077-711",Zebra Technologies,1440,42.29,https://www.arrowheadphx.com/800077-711-zxp7-ix-series-mono-ribbon-black-5000images-roll/,True,332,14040.279999999999,"Zebra ix Series monochrome ribbon for ZXP Series 7 Black, 5000 images",
P1112750-009,"Kit, Printhead 203 dpi, ZE511 RH & LH | P1112750-009",Zebra Technologies,1520;1521,398.03,https://www.arrowheadphx.com/kit-printhead-203-dpi-ze511-rh-lh-p1112750-009/,True,35,13931.05,"Kit, Printhead 203 dpi, ZE511 RH & LH",
10026378,"Label, Paper, 3x2in (76.2x50.8mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 1in (25.4mm) core, 1240/roll, 6/box, Plain | 10026378",Zebra Technologies,1444,59.61,https://www.arrowheadphx.com/10026378-label-paper-3-x-2in-direct-thermal-z-perform-1000d-1-in-core-6-rolls-carton/,True,231,13769.91,"Label, Paper, 3x2in (76.2x50.8mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 1in (25.4mm) core, 1240/roll, 6/box, Plain",
06100BK11045,"Wax/Resin Ribbon, 110mmx450m (4.33inx1476ft), 6100; Standard, 25mm (1in) core, 6/box | 06100BK11045",Zebra Technologies,2277,178.5,https://www.arrowheadphx.com/06100bk11045-wax-resin-ribbon-4-33inx1476ft-6100-wax-resin-1in-core/,True,77,13744.5,"Wax/Resin Ribbon, 110mmx450m (4.33inx1476ft), 6100; Standard, 25mm (1in) core, 6/box",
LD-R2AQ5J,"Label, Paper, 4x2in (101.6x50.8mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 300/roll, 36/box, Plain. Black mark sensing . | LD-R2AQ5J",Zebra Technologies,1444,291.24,https://www.arrowheadphx.com/ld-r2aq5j-zebra-z-perform-1000d-4x2-paper-label-36-case/,True,47,13688.28,"Label, Paper, 4x2in (101.6x50.8mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 300/roll, 36/box, Plain. Black mark sensing .",
10006995-3K,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, Cartridge, 200/roll, 6/box, Green | 10006995-3K",Zebra Technologies,2278,309.91,https://www.arrowheadphx.com/10006995-3k-zebra-hc100-z-band-direct-wristband-cartridge-green-1x11-synthetic-label-6-case/,True,44,13636.04,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, Cartridge, 200/roll, 6/box, Green",
10005007,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, 3in (76.2mm) core, 450/roll, 6/box. Black mark sensing. | 10005007",Zebra Technologies,2278,664.06,https://www.arrowheadphx.com/10005007-zebra-z-band-direct-white-1x11-synthetic-label-6-case/,True,20,13281.199999999999,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, 3in (76.2mm) core, 450/roll, 6/box. Black mark sensing.",
